P,N,E,Z,D
21313,2064916.73,6578391.684,176.72,WSE
21314,2064919.109,6578388.169,176.697,WSE
21315,2064921.361,6578384.443,176.649,WSE
21316,2064921.792,6578381.199,176.657,WSE
21317,2064922.447,6578378.084,176.683,WSE
21318,2064924.369,6578375.171,176.652,WSE
21319,2064925.932,6578371.844,176.657,WSE
21320,2064926.488,6578368.511,176.681,WSE
21321,2064926.881,6578365.021,176.699,WSE
21322,2064928.254,6578361.579,176.696,WSE
21323,2064930.636,6578358.962,176.665,WSE
21324,2064932.247,6578356.242,176.682,WSE
21325,2064933.187,6578353.939,176.703,WSE
21326,2064933.977,6578351.487,176.682,WSE
21327,2064935.287,6578349.592,176.673,WSE
21328,2064936.579,6578347.249,176.717,WSE
21329,2064962.446,6578293.52,176.68,WSE
21330,2064963.427,6578291.517,176.662,WSE
21331,2064964.158,6578289.852,176.67,WSE
21332,2064964.158,6578289.31,176.692,WSE
21333,2064965.088,6578290.31,176.709,WSE
21334,2064963.236,6578290.987,176.682,WSE
21335,2064962.228,6578292.323,176.681,WSE
21336,2064963.146,6578293.712,176.69,WSE
21337,2064963.732,6578295.572,176.681,WSE
21338,2064963.41,6578297.056,176.704,WSE
21339,2064962.533,6578297.599,176.719,WSE
21340,2064960.788,6578298.266,176.688,WSE
21341,2064958.584,6578297.732,176.687,WSE
21342,2064956.069,6578297.948,176.651,WSE
21343,2064953.349,6578298.431,176.708,WSE
21344,2064950.212,6578297.879,176.692,WSE
21345,2064947.145,6578297.638,176.667,WSE
21346,2064943.592,6578298.195,176.682,WSE
21347,2064939.956,6578298.519,176.65,WSE
21348,2064936.381,6578298.771,176.702,WSE
21349,2064932.176,6578299.016,176.69,WSE
21351,2064923.918,6578299.301,176.719,WSE
21352,2064919.497,6578299.966,176.67,WSE
21353,2064915.349,6578300.402,176.652,WSE
21354,2064910.958,6578300.362,176.693,WSE
21355,2064906.466,6578300.97,176.664,WSE
21356,2064902.025,6578301.427,176.692,WSE
21357,2064897.187,6578301.836,176.681,WSE
21358,2064892.574,6578302.251,176.655,WSE
21359,2064887.964,6578302.26,176.705,WSE
21360,2064883.228,6578302.929,176.682,WSE
21361,2064878.751,6578303.597,176.676,WSE
21362,2064874.119,6578304.121,176.721,WSE
21363,2064869.493,6578303.791,176.664,WSE
21364,2064865.104,6578303.356,176.638,WSE
21365,2064860.485,6578302.753,176.666,WSE
21366,2064855.44,6578302.018,176.673,WSE
21367,2064850.546,6578301.142,176.655,WSE
21368,2064845.434,6578300.072,176.689,WSE
21369,2064840.923,6578298.843,176.709,WSE
21370,2064836.988,6578299.654,176.709,WSE
21371,2064834.672,6578301.007,176.715,WSE
21372,2064833.499,6578301.852,176.747,WSE
21373,2064831.63,6578302.267,176.723,WSE
21374,2064830.088,6578303.569,176.727,WSE
21375,2064829.03,6578305.455,176.739,WSE
21376,2064827.474,6578308.131,176.747,WSE
21377,2064825.075,6578311.154,176.721,WSE
21378,2064823.74,6578314.548,176.698,WSE
21379,2064823.103,6578317.994,176.712,WSE
21380,2064822.13,6578321.851,176.717,WSE
21381,2064820.623,6578325.917,176.69,WSE
21382,2064818.882,6578330.011,176.707,WSE
21383,2064816.986,6578334.257,176.722,WSE
21384,2064815.342,6578338.093,176.723,WSE
21385,2064814.793,6578341.991,176.709,WSE
21386,2064813.373,6578345.632,176.697,WSE
21387,2064811.951,6578349.261,176.737,WSE
21388,2064810.391,6578352.705,176.712,WSE
21389,2064808.807,6578355.678,176.749,WSE
21390,2064808.218,6578358.719,176.732,WSE
21391,2064808.682,6578361.903,176.707,WSE
21392,2064808.959,6578364.772,176.722,WSE
21393,2064809.059,6578367.403,176.693,WSE
21394,2064808.266,6578370.151,176.744,WSE
21395,2064807.126,6578372.873,176.724,WSE
21396,2064806.304,6578375.59,176.745,WSE
21397,2064805.284,6578377.921,176.777,WSE
21398,2064803.698,6578378.966,176.727,WSE
21399,2064802.649,6578380.248,176.774,WSE
21400,2064801.2,6578382.713,176.782,WSE
21401,2064799.542,6578384.513,176.825,WSE
21402,2064799.064,6578386.966,176.849,WSE
21403,2064798.404,6578387.435,176.767,WSE
21404,2064798.29,6578386.895,176.69,WSE
21405,2064799.512,6578387.871,176.783,WSE
21406,2064801.044,6578389.098,176.787,WSE
21407,2064802.085,6578391.747,176.728,WSE
21408,2064803.107,6578394.006,176.806,WSE
21409,2064802.13,6578395.595,176.722,WSE
21410,2064801.077,6578397.358,176.8,WSE
21411,2064800.783,6578399.487,176.739,WSE
21412,2064800.784,6578400.205,176.746,WSE
21413,2064801.289,6578401.463,176.744,WSE
21414,2064802.283,6578402.616,176.762,WSE
21415,2064803.707,6578402.824,176.761,WSE
21416,2064805.704,6578402.728,176.753,WSE
21417,2064808.508,6578401.887,176.72,WSE
21418,2064811.276,6578399.986,176.726,WSE
21419,2064813.975,6578397.746,176.703,WSE
21420,2064816.894,6578395.325,176.728,WSE
21421,2064820.445,6578392.704,176.722,WSE
21422,2064824.152,6578390.24,176.711,WSE
21423,2064827.137,6578387.278,176.704,WSE
21424,2064829.057,6578383.861,176.704,WSE
21425,2064831.27,6578380.214,176.673,WSE
21426,2064833.69,6578376.662,176.744,WSE
21427,2064836.012,6578372.996,176.711,WSE
21428,2064838.133,6578369.395,176.692,WSE
21429,2064841.308,6578366.605,176.703,WSE
21430,2064844.182,6578363.781,176.665,WSE
21431,2064847.224,6578361.159,176.678,WSE
21432,2064850.005,6578358.091,176.697,WSE
21433,2064852.412,6578354.882,176.7,WSE
21434,2064854.798,6578351.785,176.676,WSE
21435,2064857.786,6578349.107,176.65,WSE
21436,2064861.38,6578347.127,176.699,WSE
21437,2064865.343,6578345.548,176.68,WSE
21438,2064869.35,6578344.307,176.658,WSE
21440,2064877.355,6578342.836,176.701,WSE
21441,2064881.246,6578342.474,176.668,WSE
21442,2064884.673,6578342.707,176.677,WSE
21443,2064888.222,6578343.034,176.672,WSE
21444,2064891.646,6578343.793,176.709,WSE
21446,2064898.257,6578343.014,176.591,WSE
21447,2064900.891,6578342.459,176.653,WSE
21448,2064902.877,6578342.452,176.66,WSE
21449,2064904.384,6578342.547,176.669,WSE
21450,2064905.271,6578341.681,176.67,WSE
21451,2064905.994,6578340.127,176.67,WSE
21452,2064906.271,6578337.958,176.683,WSE
21453,2064964.478,6578280.897,176.698,WSE
21454,2064966.37,6578280.751,176.677,WSE
21455,2064967.807,6578280.566,176.718,WSE
21456,2064967.351,6578280.154,176.705,WSE
21457,2064965.595,6578279.839,176.673,WSE
21458,2064963.98,6578278.809,176.704,WSE
21459,2064961.927,6578277.798,176.639,WSE
21460,2064960.343,6578277.235,176.708,WSE
21461,2064958.605,6578276.967,176.696,WSE
21462,2064956.492,6578276.329,176.695,WSE
21463,2064954.468,6578276.084,176.679,WSE
21464,2064952.051,6578276.555,176.756,WSE
21465,2064948.745,6578276.484,176.685,WSE
21466,2064945.307,6578276.987,176.664,WSE
21467,2064941.338,6578277.182,176.727,WSE
21468,2064936.918,6578277.565,176.685,WSE
21469,2064932.442,6578277.996,176.705,WSE
21470,2064927.66,6578278.523,176.714,WSE
21471,2064922.904,6578278.407,176.687,WSE
21472,2064918.308,6578278.069,176.704,WSE
21473,2064913.034,6578278.371,176.699,WSE
21474,2064907.781,6578278.074,176.656,WSE
21475,2064902.677,6578277.113,176.745,WSE
21476,2064897.492,6578276.958,176.666,WSE
21477,2064892.701,6578276.33,176.645,WSE
21478,2064888.253,6578274.996,176.696,WSE
21479,2064883.78,6578274.362,176.65,WSE
21480,2064879.09,6578273.699,176.746,WSE
21481,2064874.327,6578271.953,176.685,WSE
21482,2064869.777,6578270.241,176.65,WSE
21483,2064865.244,6578268.398,176.701,WSE
21484,2064860.58,6578267.383,176.7,WSE
21485,2064856.565,6578265.812,176.685,WSE
21486,2064853.382,6578264.091,176.697,WSE
21487,2064850.574,6578262.927,176.681,WSE
21489,2064846.475,6578260.806,176.7,WSE
21490,2064847.185,6578259.763,176.715,WSE
21491,2064848.65,6578258.887,176.679,WSE
21492,2064851.053,6578257.378,176.714,WSE
21493,2064853.891,6578256.218,176.732,WSE
21494,2064855.957,6578255.174,176.703,WSE
21495,2064856.922,6578253.149,176.724,WSE
21496,2064858.021,6578250.685,176.749,WSE
21497,2064860.108,6578248.314,176.7,WSE
21498,2064861.063,6578245.702,176.742,WSE
21499,2064860.715,6578243.659,176.719,WSE
21500,2064860.889,6578242.322,176.739,WSE
21501,2064861.669,6578240.788,176.687,WSE
21502,2064862.43,6578237.167,176.685,WSE
21503,2064861.838,6578234.219,176.658,WSE
21504,2064860.634,6578231.604,176.702,WSE
21505,2064858.656,6578229.089,176.676,WSE
21506,2064856.737,6578226.521,176.667,WSE
21507,2064854.998,6578226.025,176.668,WSE
21509,2064855.151,6578225.511,176.729,WSE
21510,2064857.086,6578225.512,176.711,WSE
21511,2064859.027,6578224.455,176.717,WSE
21512,2064860.919,6578223.469,176.748,WSE
21513,2064862.659,6578223.346,176.67,WSE
21514,2064864.714,6578223.831,176.707,WSE
21515,2064867.257,6578223.578,176.702,WSE
21516,2064870.403,6578224.441,176.637,WSE
21517,2064874.04,6578225.11,176.723,WSE
21518,2064878.803,6578225.585,176.718,WSE
21519,2064883.533,6578226.515,176.641,WSE
21520,2064888.274,6578227.441,176.715,WSE
21521,2064893.185,6578228.323,176.679,WSE
21522,2064897.989,6578229.255,176.616,WSE
21523,2064902.887,6578230.08,176.723,WSE
21524,2064908.002,6578231.291,176.663,WSE
21525,2064912.804,6578232.259,176.684,WSE
21526,2064917.662,6578233.594,176.668,WSE
21527,2064922.319,6578234.622,176.631,WSE
21528,2064926.714,6578235.346,176.686,WSE
21529,2064931.455,6578236.009,176.692,WSE
21530,2064935.615,6578236.202,176.676,WSE
21531,2064940.062,6578236.745,176.691,WSE
21532,2064944.404,6578236.884,176.644,WSE
21533,2064948.546,6578236.555,176.686,WSE
21534,2064953.142,6578236.548,176.663,WSE
21535,2064957.349,6578236.187,176.658,WSE
21536,2064961.357,6578236.396,176.67,WSE
21537,2064964.428,6578236.52,176.665,WSE
21538,2064964.745,6578236.822,176.662,WSE
21539,2064963.957,6578236.952,176.699,WSE
21540,2064962.532,6578237.013,176.693,WSE
21541,2064960.684,6578235.777,176.709,WSE
21542,2064959.145,6578235.203,176.686,WSE
21543,2064959.223,6578234.857,176.723,WSE
21544,2064959.56,6578234.117,176.696,WSE
21545,2064957.578,6578233.651,176.698,WSE
21546,2064957.645,6578232.533,176.657,WSE
21547,2064957.62,6578230.671,176.692,WSE
21548,2064957.328,6578228.328,176.711,WSE
21549,2064957.062,6578225.42,176.693,WSE
21550,2064957.341,6578221.884,176.69,WSE
21551,2064957.815,6578218.057,176.672,WSE
21552,2064958.454,6578213.942,176.61,WSE
21553,2064959.104,6578209.623,176.654,WSE
21554,2064959.646,6578205.066,176.662,WSE
21555,2064960.602,6578200.672,176.669,WSE
21556,2064961.572,6578196.32,176.636,WSE
21557,2064962.903,6578192.459,176.652,WSE
21558,2064964.945,6578189.596,176.66,WSE
21559,2064967.09,6578187.99,176.664,WSE
21560,2064969.338,6578185.982,176.638,WSE
21561,2064969.565,6578185.375,176.678,WSE
21562,2064968.115,6578184.202,176.681,WSE
21563,2064965.321,6578184.48,176.689,WSE
21564,2064962.522,6578183.697,176.706,WSE
21565,2064960.944,6578183.102,176.663,WSE
21566,2064959.373,6578182.926,176.637,WSE
21567,2064957.469,6578182.488,176.679,WSE
21568,2064955.209,6578182.214,176.669,WSE
21569,2064952.777,6578182.202,176.667,WSE
21570,2064949.947,6578182.212,176.704,WSE
21571,2064946.652,6578182.24,176.639,WSE
21572,2064943.282,6578182.229,176.674,WSE
21573,2064939.52,6578181.943,176.669,WSE
21574,2064935.659,6578181.952,176.617,WSE
21575,2064931.705,6578181.64,176.712,WSE
21576,2064927.391,6578181.397,176.678,WSE
21577,2064923.085,6578180.905,176.673,WSE
21578,2064918.443,6578180.255,176.679,WSE
21579,2064913.429,6578180.163,176.625,WSE
21580,2064908.401,6578179.834,176.69,WSE
21581,2064903.032,6578179.004,176.659,WSE
21582,2064897.624,6578178.696,176.617,WSE
21583,2064892.377,6578178.379,176.681,WSE
21584,2064886.841,6578177.561,176.644,WSE
21585,2064881.708,6578177.119,176.625,WSE
21586,2064876.751,6578177.501,176.679,WSE
21587,2064872.12,6578177.175,176.62,WSE
21588,2064867.813,6578176.875,176.64,WSE
21589,2064863.346,6578176.761,176.659,WSE
21590,2064859.614,6578176.507,176.65,WSE
21591,2064856.527,6578176.038,176.645,WSE
21592,2064853.702,6578176.076,176.622,WSE
21593,2064850.829,6578176.386,176.649,WSE
21594,2064851.784,6578175.271,176.682,WSE
21595,2064853.118,6578175.607,176.705,WSE
21596,2064853.151,6578174.862,176.637,WSE
21597,2064853.061,6578173.194,176.721,WSE
21598,2064854.02,6578170.871,176.69,WSE
21599,2064854.463,6578168.026,176.628,WSE
21600,2064854.866,6578165.001,176.682,WSE
21601,2064856.051,6578162.033,176.678,WSE
21602,2064854.987,6578158.709,176.66,WSE
21603,2064853.953,6578156.067,176.669,WSE
21604,2064854.404,6578152.856,176.648,WSE
21605,2064855.683,6578149.881,176.647,WSE
21606,2064856.47,6578146.576,176.665,WSE
21607,2064856.449,6578143.307,176.647,WSE
21608,2064855.046,6578140.404,176.709,WSE
21609,2064852.826,6578139.836,176.716,WSE
21610,2064852.622,6578138.996,176.672,WSE
21611,2064854.059,6578138.402,176.688,WSE
21612,2064856.169,6578137.865,176.663,WSE
21613,2064859.274,6578137.89,176.631,WSE
21614,2064862.716,6578137.719,176.658,WSE
21615,2064866.326,6578137.488,176.664,WSE
21616,2064870.241,6578137.401,176.679,WSE
21617,2064874.573,6578137.875,176.657,WSE
21618,2064878.819,6578138.359,176.677,WSE
21619,2064883.115,6578138.498,176.657,WSE
21620,2064887.642,6578138.354,176.643,WSE
21621,2064892.274,6578138.518,176.65,WSE
21622,2064896.893,6578138.561,176.681,WSE
21623,2064901.656,6578138.77,176.673,WSE
21624,2064906.388,6578139.678,176.633,WSE
21625,2064911.23,6578139.992,176.658,WSE
21626,2064915.81,6578140.394,176.659,WSE
21627,2064920.351,6578140.988,176.652,WSE
21628,2064925.186,6578141.625,176.662,WSE
21629,2064929.754,6578142.318,176.666,WSE
21630,2064934.002,6578143.052,176.66,WSE
21632,2064941.777,6578143.783,176.638,WSE
21633,2064945.407,6578143.783,176.657,WSE
21634,2064948.461,6578143.835,176.669,WSE
21635,2064951.379,6578144.056,176.687,WSE
21636,2064954.557,6578143.297,176.683,WSE
21637,2064957.086,6578142.61,176.677,WSE
21638,2064960.179,6578142.763,176.649,WSE
21639,2064963.649,6578143.336,176.685,WSE
21640,2064967.058,6578144.252,176.658,WSE
21641,2064970.011,6578145.367,176.662,WSE
21642,2064972.007,6578146.128,176.684,WSE
21643,2064970.991,6578146.162,176.658,WSE
21644,2064968.916,6578145.614,176.645,WSE
21645,2064966.619,6578145.635,176.675,WSE
21646,2064964.975,6578145.749,176.685,WSE
21647,2064963.747,6578145.204,176.633,WSE
21648,2064963.379,6578143.606,176.688,WSE
21649,2064962.646,6578141.157,176.684,WSE
21650,2064962.043,6578138.188,176.648,WSE
21651,2064961.569,6578135.021,176.66,WSE
21652,2064961.517,6578131.616,176.731,WSE
21653,2064960.643,6578127.613,176.667,WSE
21654,2064961.549,6578123.761,176.64,WSE
21655,2064963.161,6578120.682,176.649,WSE
21656,2064963.485,6578116.973,176.628,WSE
21657,2064962.247,6578113.385,176.617,WSE
21658,2064961.415,6578110.122,176.694,WSE
21659,2064960.987,6578106.668,176.687,WSE
21660,2064961.502,6578102.916,176.704,WSE
21661,2064961.845,6578098.895,176.651,WSE
21662,2064963.741,6578095.923,176.699,WSE
21666,2064969.546,6578089.073,176.689,WSE
21667,2064968.963,6578088.336,176.648,WSE
21668,2064967.653,6578088.975,176.654,WSE
21669,2064965.504,6578087.568,176.638,WSE
21670,2064963.132,6578086.685,176.692,WSE
21671,2064960.316,6578086.144,176.686,WSE
21672,2064956.754,6578085.59,176.644,WSE
21675,2064945.73,6578084.515,176.621,WSE
21676,2064941.6,6578085.001,176.619,WSE
21677,2064937.751,6578086.203,176.67,WSE
21678,2064933.771,6578087.129,176.68,WSE
21679,2064929.579,6578087.846,176.693,WSE
21680,2064925.237,6578088.23,176.67,WSE
21681,2064920.879,6578088.256,176.652,WSE
21682,2064916.358,6578088.385,176.617,WSE
21683,2064911.75,6578088.183,176.638,WSE
21684,2064907.893,6578089.072,176.65,WSE
21685,2064903.714,6578089.177,176.668,WSE
21686,2064899.531,6578089.399,176.656,WSE
21687,2064895.343,6578089.733,176.687,WSE
21688,2064890.734,6578089.704,176.633,WSE
21689,2064887.357,6578090.544,176.653,WSE
21690,2064884.096,6578091.534,176.7,WSE
21691,2064880.606,6578092.483,176.655,WSE
21692,2064876.482,6578092.518,176.663,WSE
21693,2064872.444,6578092.318,176.657,WSE
21694,2064868.568,6578092.239,176.621,WSE
21695,2064864.908,6578092.392,176.607,WSE
21696,2064861.385,6578092.734,176.664,WSE
21697,2064858.374,6578093.293,176.666,WSE
21698,2064855.688,6578093.328,176.66,WSE
21699,2064852.802,6578093.006,176.676,WSE
21700,2064849.165,6578092.633,176.652,WSE
21701,2064846.312,6578092.429,176.665,WSE
21702,2064845.604,6578091.573,176.655,WSE
21703,2064845.886,6578088.915,176.719,WSE
21704,2064846.959,6578087.294,176.613,WSE
21705,2064848.638,6578085.752,176.674,WSE
21706,2064849.819,6578084.861,176.662,WSE
21707,2064849.672,6578083.789,176.67,WSE
21708,2064850.035,6578082.13,176.695,WSE
21709,2064849.932,6578079.948,176.705,WSE
21710,2064848.225,6578078.171,176.696,WSE
21711,2064847.072,6578075.918,176.708,WSE
21712,2064845.788,6578073.589,176.673,WSE
21713,2064843.917,6578071.691,176.668,WSE
21714,2064841.89,6578069.961,176.674,WSE
21715,2064839.494,6578066.94,176.624,WSE
21716,2064837.674,6578064.521,176.637,WSE
21717,2064837.655,6578063.148,176.672,WSE
21718,2064839.104,6578063.211,176.685,WSE
21719,2064841.3,6578063.231,176.673,WSE
21720,2064844.569,6578062.998,176.657,WSE
21721,2064848.275,6578062.329,176.635,WSE
21722,2064852.113,6578061.927,176.676,WSE
21723,2064856.323,6578061.435,176.678,WSE
21724,2064860.851,6578060.936,176.7,WSE
21725,2064865.658,6578060.763,176.65,WSE
21726,2064870.786,6578060.406,176.657,WSE
21727,2064875.655,6578060.447,176.669,WSE
21728,2064880.34,6578060.745,176.658,WSE
21729,2064884.969,6578060.901,176.669,WSE
21730,2064890.012,6578059.732,176.657,WSE
21731,2064894.68,6578059.198,176.637,WSE
21732,2064899.141,6578058.248,176.67,WSE
21733,2064903.673,6578056.854,176.654,WSE
21734,2064908.144,6578055.643,176.674,WSE
21735,2064912.456,6578054.14,176.65,WSE
21736,2064916.408,6578052.613,176.637,WSE
21737,2064920.398,6578050.976,176.617,WSE
21738,2064924.367,6578050.181,176.599,WSE
21739,2064927.692,6578050.021,176.647,WSE
21741,2064932.809,6578049.297,176.632,WSE
21742,2064936.256,6578048.457,176.667,WSE
21743,2064940.135,6578047.814,176.613,WSE
21744,2064944.217,6578047.593,176.664,WSE
21745,2064948.889,6578046.948,176.635,WSE
21746,2064953.339,6578046.373,176.627,WSE
21747,2064957.651,6578045.822,176.677,WSE
21748,2064961.381,6578044.823,176.69,WSE
21749,2064964.396,6578043.79,176.72,WSE
21752,2064963.228,6578041.419,176.715,WSE
21753,2064961.232,6578039.75,176.693,WSE
21754,2064958.989,6578036.691,176.705,WSE
21755,2064956.704,6578034.407,176.666,WSE
21756,2064955.948,6578032.376,176.712,WSE
21757,2064954.892,6578029.626,176.716,WSE
21758,2064954.035,6578026.205,176.65,WSE
21759,2064953.526,6578022.391,176.722,WSE
21760,2064953.084,6578018.079,176.658,WSE
21761,2064954.725,6578014.653,176.667,WSE
21762,2064956.523,6578012.82,176.659,WSE
21763,2064957.361,6578009.649,176.707,WSE
21764,2064959.028,6578007.662,176.68,WSE
21765,2064959.999,6578006.01,176.683,WSE
21766,2064958.702,6578005.316,176.63,WSE
21767,2064956.472,6578003.687,176.682,WSE
21768,2064953.574,6578002.761,176.637,WSE
21769,2064950.261,6578003.244,176.62,WSE
21770,2064946.643,6578003.508,176.688,WSE
21771,2064942.736,6578003.956,176.647,WSE
21772,2064938.619,6578004.692,176.654,WSE
21773,2064934.125,6578005.269,176.65,WSE
21774,2064929.771,6578006.284,176.688,WSE
21775,2064925.306,6578006.822,176.649,WSE
21776,2064920.918,6578007.176,176.669,WSE
21777,2064916.502,6578007.655,176.632,WSE
21778,2064911.955,6578007.816,176.711,WSE
21779,2064907.512,6578008.343,176.653,WSE
21780,2064903.375,6578009.65,176.682,WSE
21781,2064899.622,6578012.134,176.639,WSE
21782,2064895.635,6578013.33,176.617,WSE
21783,2064891.928,6578013.526,176.637,WSE
21784,2064889.585,6578014.326,176.693,WSE
21785,2064887.117,6578015.959,176.687,WSE
21786,2064883.753,6578016.647,176.696,WSE
21787,2064880.985,6578018.043,176.62,WSE
21788,2064878.076,6578020.382,176.708,WSE
21789,2064874.118,6578022.064,176.681,WSE
21790,2064870.299,6578024.145,176.615,WSE
21791,2064866.274,6578026.287,176.684,WSE
21792,2064861.79,6578028.109,176.671,WSE
21793,2064857.715,6578030.285,176.631,WSE
21794,2064853.343,6578031.905,176.657,WSE
21795,2064848.764,6578033.588,176.656,WSE
21796,2064844.281,6578035.134,176.648,WSE
21797,2064839.789,6578036.731,176.687,WSE
21798,2064835.303,6578037.893,176.662,WSE
21799,2064830.977,6578038.372,176.655,WSE
21800,2064827.226,6578038.969,176.669,WSE
21801,2064823.881,6578038.902,176.659,WSE
21802,2064821.088,6578039.121,176.672,WSE
21803,2064819.835,6578039.492,176.693,WSE
21804,2064821.268,6578039.476,176.701,WSE
21805,2064823.372,6578038.88,176.652,WSE
21806,2064825.647,6578038.995,176.658,WSE
21807,2064827.055,6578039.132,176.692,WSE
21808,2064827.185,6578038.063,176.691,WSE
21809,2064827.734,6578036.491,176.646,WSE
21810,2064827.9,6578034.267,176.682,WSE
21811,2064827.002,6578031.731,176.693,WSE
21812,2064826.33,6578029.097,176.68,WSE
21813,2064824.827,6578027.033,176.694,WSE
21814,2064823.575,6578025.233,176.701,WSE
21815,2064822.458,6578022.882,176.67,WSE
21816,2064820.779,6578021.04,176.665,WSE
21817,2064818.888,6578019.273,176.697,WSE
21818,2064816.749,6578016.627,176.668,WSE
21819,2064814.313,6578015.117,176.647,WSE
21820,2064812.374,6578014.022,176.64,WSE
21821,2064811.519,6578013.297,176.666,WSE
21822,2064811.814,6578011.261,176.669,WSE
21823,2064812.61,6578009.676,176.66,WSE
21824,2064814.053,6578008.577,176.681,WSE
21825,2064815.993,6578008.402,176.681,WSE
21826,2064818.113,6578007.367,176.677,WSE
21827,2064820.902,6578005.827,176.661,WSE
21828,2064823.968,6578004.198,176.699,WSE
21829,2064827.147,6578002.526,176.665,WSE
21830,2064830.567,6578000.63,176.677,WSE
21831,2064833.833,6577998.777,176.685,WSE
21832,2064837.138,6577996.873,176.677,WSE
21833,2064840.604,6577994.283,176.687,WSE
21834,2064843.425,6577991.55,176.683,WSE
21835,2064845.93,6577988.588,176.671,WSE
21836,2064848.482,6577985.792,176.652,WSE
21837,2064851.071,6577983.858,176.622,WSE
21838,2064852.376,6577982.319,176.679,WSE
21839,2064853.619,6577980.221,176.667,WSE
21840,2064855.062,6577978.351,176.642,WSE
21848,2064847.013,6577974.563,176.656,WSE
21849,2064845.542,6577973.607,176.694,WSE
21850,2064843.733,6577971.833,176.653,WSE
21851,2064842.098,6577969.356,176.641,WSE
21852,2064840.686,6577966.48,176.674,WSE
21853,2064839.184,6577963.278,176.646,WSE
21854,2064838.202,6577959.929,176.613,WSE
21859,2064832.553,6577952.269,176.637,WSE
21860,2064828.931,6577952.351,176.648,WSE
21861,2064825.241,6577953.036,176.64,WSE
21862,2064822.522,6577954.792,176.653,WSE
21863,2064819.525,6577957.002,176.656,WSE
21864,2064815.838,6577959.295,176.607,WSE
21865,2064812.973,6577961.564,176.641,WSE
21866,2064810.864,6577963.483,176.699,WSE
21867,2064809.356,6577965.243,176.721,WSE
21868,2064807.102,6577966.188,176.658,WSE
21869,2064803.584,6577966.881,176.67,WSE
21870,2064800.241,6577968.41,176.624,WSE
21871,2064796.919,6577970.082,176.698,WSE
21872,2064793.417,6577972.282,176.679,WSE
21873,2064789.946,6577974.488,176.638,WSE
21874,2064786.695,6577976.742,176.673,WSE
21875,2064784.087,6577979.033,176.679,WSE
21876,2064782.493,6577981.67,176.653,WSE
21877,2064780.844,6577983.745,176.687,WSE
21878,2064779.25,6577985.848,176.657,WSE
21879,2064777.987,6577988.274,176.657,WSE
21880,2064776.988,6577990.784,176.678,WSE
21881,2064775.5,6577993.586,176.678,WSE
21882,2064775.299,6577996.709,176.624,WSE
21883,2064775.221,6577999.872,176.647,WSE
21884,2064775.139,6578002.649,176.671,WSE
21885,2064775.47,6578004.929,176.686,WSE
21886,2064773.542,6578007.79,176.692,WSE
21887,2064772.727,6578010.636,176.681,WSE
21888,2064772.195,6578013.421,176.701,WSE
21889,2064772.088,6578016.316,176.695,WSE
21890,2064770.102,6578018.246,176.682,WSE
21891,2064768.893,6578020.281,176.704,WSE
21892,2064769.093,6578023.626,176.726,WSE
21893,2064767.089,6578025.6,176.711,WSE
21894,2064764.875,6578026.47,176.727,WSE
21895,2064762.906,6578028.283,176.723,WSE
21896,2064761.319,6578030.826,176.721,WSE
21897,2064760.049,6578033.174,176.719,WSE
21898,2064758.62,6578034.731,176.72,WSE
21899,2064757.209,6578036.144,176.735,WSE
21900,2064755.064,6578035.232,176.771,WSE
21901,2064754.567,6578033.231,176.741,WSE
21902,2064754.877,6578031.966,176.741,WSE
21903,2064756.007,6578030.334,176.749,WSE
21904,2064757.029,6578029.081,176.731,WSE
21905,2064756.292,6578027.191,176.672,WSE
21906,2064755.583,6578025.923,176.784,WSE
21907,2064757.217,6578024.658,176.728,WSE
21908,2064758.487,6578022.81,176.709,WSE
21909,2064758.608,6578019.882,176.703,WSE
21910,2064757.203,6578017.262,176.715,WSE
21911,2064756.947,6578014.598,176.709,WSE
21912,2064757.846,6578011.521,176.685,WSE
21913,2064760.014,6578009.297,176.676,WSE
21914,2064761.53,6578007.57,176.734,WSE
21915,2064762.963,6578006.646,176.704,WSE
21916,2064763.735,6578004.343,176.696,WSE
21917,2064764.039,6578001.367,176.654,WSE
21918,2064763.564,6577998.491,176.712,WSE
21919,2064763.696,6577995.792,176.665,WSE
21920,2064763.185,6577993.225,176.716,WSE
21921,2064763.069,6577990.622,176.684,WSE
21922,2064762.295,6577987.539,176.675,WSE
21924,2064761.784,6577980.148,176.695,WSE
21925,2064762.902,6577976.879,176.688,WSE
21926,2064764.649,6577975.077,176.708,WSE
21927,2064765.997,6577972.919,176.658,WSE
21928,2064767.474,6577970.265,176.675,WSE
21929,2064769.54,6577967.194,176.685,WSE
21930,2064772.3,6577964.191,176.596,WSE
21931,2064775.315,6577961.273,176.715,WSE
21932,2064778.638,6577957.987,176.673,WSE
21933,2064781.752,6577954.6,176.663,WSE
21934,2064784.62,6577951.09,176.715,WSE
21935,2064787.726,6577947.479,176.694,WSE
21936,2064790.505,6577943.866,176.637,WSE
21937,2064793.23,6577940.16,176.697,WSE
21938,2064796.256,6577936.729,176.689,WSE
21939,2064799.197,6577933.804,176.651,WSE
21940,2064802.109,6577931.331,176.674,WSE
21941,2064804.64,6577929.169,176.625,WSE
21942,2064807.002,6577927.089,176.671,WSE
21943,2064808.975,6577924.731,176.65,WSE
21944,2064809.856,6577923.738,176.658,WSE
21945,2064809.147,6577922.467,176.663,WSE
21946,2064807.088,6577921.165,176.688,WSE
